date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
13-Apr-2021,2021,South Africa,body boarding,M,38,yes,2021-04-13 00:00:00,13-Apr-2021,4,Spring
02-Apr-2021,2021,USA,swimming,M,36,no,2021-04-02 00:00:00,02-Apr-2021,4,Spring
27-Mar-2021,2021,Australia,fishing,M,27,no,2021-03-27 00:00:00,27-Mar-2021,3,Spring
26-Mar-2021,2021,French Polynesia,swimming,M,10,no,2021-03-26 00:00:00,26-Mar-2021,3,Spring
25-Mar-2021,2021,USA,swimming,M,7,no,2021-03-25 00:00:00,25-Mar-2021,3,Spring
21-Mar-2021,2021,USA,surfing,M,9,no,2021-03-21 00:00:00,21-Mar-2021,3,Spring
18-Mar-2021,2021,USA,wading,M,20,no,2021-03-18 00:00:00,18-Mar-2021,3,Spring
02-Mar-2021,2021,New Caledonia,fishing,M,16,no,2021-03-02 00:00:00,02-Mar-2021,3,Spring
28-Feb-2021,2021,New Caledonia,swimming,M,57,yes,2021-02-28 00:00:00,28-Feb-2021,2,Winter
20-Feb-2021,2021,Australia,fishing,M,15,no,2021-02-20 00:00:00,20-Feb-2021,2,Winter
06-Feb-2021,2021,USA,surfing,M,15,no,2021-02-06 00:00:00,06-Feb-2021,2,Winter
02-Feb-2021,2021,USA,kayaking,M,45,no,2021-02-02 00:00:00,02-Feb-2021,2,Winter
29-Jan-2021,2021,Australia,swimming,F,46,no,2021-01-29 00:00:00,29-Jan-2021,1,Winter
27-Jan-2021,2021,New Zealand,swimming,M,61,no,2021-01-27 00:00:00,27-Jan-2021,1,Winter
23-Jan-2021,2021,Australia,swimming,M,58,no,2021-01-23 00:00:00,23-Jan-2021,1,Winter
22-Jan-2021,2021,USA,fishing,F,15,no,2021-01-22 00:00:00,22-Jan-2021,1,Winter
22-Jan-2021,2021,USA,snorkeling,M,73,no,2021-01-22 00:00:00,22-Jan-2021,1,Winter
21-Jan-2021,2021,Australia,snorkeling,M,32,yes,2021-01-21 00:00:00,21-Jan-2021,1,Winter
13-Jan-2021,2021,Brazil,surfing,M,52,no,2021-01-13 00:00:00,13-Jan-2021,1,Winter
13-Jan-2021,2021,Australia,swimming,M,54,no,2021-01-13 00:00:00,13-Jan-2021,1,Winter
11-Jan-2021,2021,Australia,swimming,M,7,no,2021-01-11 00:00:00,11-Jan-2021,1,Winter
07-Jan-2021,2021,New Zealand,swimming,F,19,yes,2021-01-07 00:00:00,07-Jan-2021,1,Winter
03-Jan-2021,2021,USA,surfing,M,19,no,2021-01-03 00:00:00,03-Jan-2021,1,Winter
02-Jan-2021,2021,USA,surfing,M,17,no,2021-01-02 00:00:00,02-Jan-2021,1,Winter
02-Jan-2021,2021,USA,swimming,F,68,no,2021-01-02 00:00:00,02-Jan-2021,1,Winter
30-Dec-2020,2020,USA,swimming,M,15,no,2020-12-30 00:00:00,30-Dec-2020,12,Winter
09-Dec-2020,2020,Australia,surfing,M,15,no,2020-12-09 00:00:00,09-Dec-2020,12,Winter
